Name;Date;Venue;Link
Neil Diamond 50th Anniversary Tour;04/07/2017  20:00:00;Save Mart Center;http://ticketmaster.com/event/1C00517DF19D8076;
Neil Diamond 50th Anniversary Tour;04/12/2017  20:00:00;Scottrade Center;http://ticketmaster.com/event/0600517DB66998C6;
Neil Diamond 50th Anniversary Tour;04/14/2017  20:00:00;CenturyLink Center Omaha;http://ticketmaster.com/event/0600517DE9F3C41E;
Neil Diamond 50th Anniversary Tour;04/16/2017  20:00:00;Chesapeake Energy Arena;http://ticketmaster.com/event/0C00517DC1D15A99;
Neil Diamond 50th Anniversary Tour;04/19/2017  20:00:00;Bridgestone Arena;http://ticketmaster.com/event/1B00517DE1208816;
Neil Diamond 50th Anniversary Tour;04/21/2017  20:00:00;KFC Yum! Center;http://ticketmaster.com/event/1600517E981F18BB;
Neil Diamond 50th Anniversary Tour;04/23/2017  19:00:00;Amalie Arena;http://ticketmaster.com/event/0D00517DA490A637;
Neil Diamond 50th Anniversary Tour;04/26/2017  20:00:00;BB&T Center;http://ticketmaster.com/event/0D00517D9B808C62;
Neil Diamond 50th Anniversary Tour;04/28/2017  20:00:00;Spectrum Center (formerly Time Warner Cable Arena);http://ticketmaster.com/event/0E00517EEE527CFB;
Neil Diamond 50th Anniversary Tour;04/30/2017  20:00:00;Philips Arena;http://ticketmaster.com/event/0E00517E88CA20E2;
Neil Diamond 50th Anniversary Tour;05/02/2017  20:00:00;Smoothie King Center;http://ticketmaster.com/event/1B00517DBCC16AC9;
Neil Diamond 50th Anniversary Tour;05/24/2017  20:00:00;Xcel Energy Center;http://ticketmaster.com/event/06005177ED5AA04D;
Neil Diamond 50th Anniversary Tour;05/26/2017  20:00:00;Bankers Life Fieldhouse;http://ticketmaster.com/event/0500517D4A3F91A3;
Neil Diamond 50th Anniversary Tour;05/28/2017  20:00:00;United Center;http://ticketmaster.com/event/0400517CF9386741;
Neil Diamond 50th Anniversary Tour;06/02/2017  20:00:00;The Palace of Auburn Hills;http://ticketmaster.com/event/0800517DE2ED6D77;
Neil Diamond 50th Anniversary Tour;06/04/2017  20:00:00;Blue Cross Arena;http://ticketmaster.com/event/0000517DA8B8279C;
Neil Diamond 50th Anniversary Tour;06/07/2017  20:00:00;Air Canada Centre;http://ticketmaster.ca/event/1000517DAE0570EE;
Neil Diamond 50th Anniversary Tour;06/09/2017  20:00:00;Royal Farms Arena (formerly Baltimore Arena);http://ticketmaster.com/event/1500517E89C8187C;
Neil Diamond 50th Anniversary Tour;06/11/2017  19:30:00;Mohegan Sun Arena;http://ticketmaster.com/event/1D00517DFB332579;
Neil Diamond 50th Anniversary Tour;06/15/2017  20:00:00;Madison Square Garden;http://ticketmaster.com/event/3B00517D9E11186E;
Neil Diamond 50th Anniversary Tour;06/17/2017  20:00:00;Madison Square Garden;http://ticketmaster.com/event/3B00517DC81222EE;
Neil Diamond 50th Anniversary Tour;06/22/2017  20:00:00;Bethel Woods Center for the Arts;http://ticketmaster.com/event/0000517EC70E68F3;
Neil Diamond;07/14/2017  20:00:00;Intrust Bank Arena;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2028347;
Neil Diamond;07/16/2017  20:00:00;Toyota Center - TX;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2028310;
Neil Diamond 50th Anniversary Tour;07/18/2017  20:00:00;American Airlines Center;http://ticketmaster.com/event/0C00517ED6B23B99;
Neil Diamond;07/21/2017  20:00:00;Pepsi Center;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2026638;
Neil Diamond 50th Anniversary Tour;07/24/2017  20:00:00;Rogers Arena;http://ticketmaster.ca/event/1100517DE017AC33;
Neil Diamond 50th Anniversary Tour;07/26/2017  20:00:00;KeyArena;http://ticketmaster.com/event/0F00517DDE0E402D;
Neil Diamond 50th Anniversary Tour;07/28/2017  20:00:00;Moda Center;http://ticketmaster.com/event/0F00517DDF9A4093;
Neil Diamond 50th Anniversary Tour;07/30/2017  20:00:00;SAP Center at San Jose;http://ticketmaster.com/event/1C00517DB16D5792;
Neil Diamond 50th Anniversary Tour;08/02/2017  20:00:00;Golden 1 Center;http://ticketmaster.com/event/1C00517DD205708B;
Neil Diamond 50th Anniversary Tour;08/04/2017  20:00:00;Talking Stick Resort Arena;http://ticketmaster.com/event/1900517DC4C040C3;
Neil Diamond 50th Anniversary Tour;08/10/2017  20:00:00;The Forum;http://ticketmaster.com/event/0900517D16B86740;
Neil Diamond 50th Anniversary Tour;08/12/2017  20:00:00;The Forum;http://ticketmaster.com/event/0900517D16BD6742;
