Name;Date;Venue;Link
Bruno Mars;12/27/2016  21:00:00;The Theater at MGM National Harbor;#http://ticketmaster.com/event/15005146CBF33E5E#outlauto#;
Bruno Mars;12/30/2016  21:00:00;Park Theater at Monte Carlo Resort and Casino;#http://ticketmaster.com/event/2E005126A4251F2D#outlauto#;
Bruno Mars;12/31/2016  21:00:00;Park Theater at Monte Carlo Resort and Casino;#http://ticketmaster.com/event/2E005126A42B1F2F#outlauto#;
Bruno Mars At Club Nomadic, Presented By Pepsico;02/03/2017  21:00:00;Club Nomadic;#http://ticketmaster.com/event/3A00517CCE5A4EB9#outlauto#;
Bruno Mars;03/11/2017  21:00:00;Park Theater at Monte Carlo Resort and Casino;#http://ticketmaster.com/event/2E005126A4301F52#outlauto#;
Bruno Mars;03/12/2017  21:00:00;Park Theater at Monte Carlo Resort and Casino;#http://ticketmaster.com/event/2E005126A4351F56#outlauto#;
Bruno Mars;07/15/2017  20:00:00;T-Mobile Arena;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2021284#outlauto#;
Bruno Mars: 24K Magic World Tour;07/18/2017  20:00:00;Golden 1 Center;#http://ticketmaster.com/event/1C00516ED2737AB2#outlauto#;
Bruno Mars: 24K Magic World Tour;07/20/2017  20:00:00;SAP Center at San Jose;#http://ticketmaster.com/event/1C00516BF7D666AF#outlauto#;
Bruno Mars: 24K Magic World Tour;07/21/2017  20:00:00;SAP Center at San Jose;#http://ticketmaster.com/event/1C0051726FEC14FE#outlauto#;
Bruno Mars: 24K Magic World Tour;07/23/2017  20:00:00;Moda Center;#http://ticketmaster.com/event/0F00516A8E041310#outlauto#;
Bruno Mars: 24K Magic World Tour;07/24/2017  20:00:00;Tacoma Dome;#http://ticketmaster.com/event/0F00516E7EFA1078#outlauto#;
Bruno Mars: 24K Magic World Tour;07/26/2017  20:00:00;Rogers Arena;#http://ticketmaster.ca/event/110051693253A09C#outlauto#;
Bruno Mars: 24K Magic World Tour;07/27/2017  20:00:00;Rogers Arena;#http://ticketmaster.ca/event/110051727A3E58D8#outlauto#;
Bruno Mars: 24K Magic World Tour;07/30/2017  20:00:00;Rogers Place;#http://ticketmaster.ca/event/1100516AC9499D74#outlauto#;
Bruno Mars: 24K Magic World Tour;07/31/2017  20:00:00;Rogers Place;#http://ticketmaster.ca/event/11005171EB5FAA05#outlauto#;
Bruno Mars;08/02/2017  20:00:00;MTS Centre (Manitoba);#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020595#outlauto#;
Bruno Mars: 24K Magic World Tour;08/02/2017  20:00:00;MTS Centre;#http://ticketmaster.ca/event/1100516EB0016CAC#outlauto#;
Bruno Mars;08/04/2017  20:00:00;Fargodome;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020598#outlauto#;
Bruno Mars: 24K Magic World Tour;08/05/2017  20:00:00;Xcel Energy Center;#http://ticketmaster.com/event/06005164D70195DD#outlauto#;
Bruno Mars: 24K Magic World Tour;08/07/2017  20:00:00;Pinnacle Bank Arena;#http://ticketmaster.com/event/0600516EA29D5061#outlauto#;
Bruno Mars;08/09/2017  19:30:00;Sprint Center;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2021126#outlauto#;
Bruno Mars: 24K Magic World Tour;08/12/2017  20:00:00;The Palace of Auburn Hills;#http://ticketmaster.com/event/0800516AE27848FB#outlauto#;
Bruno Mars: 24K Magic World Tour;08/13/2017  20:00:00;Bankers Life Fieldhouse;#http://ticketmaster.com/event/05005169CD3E3592#outlauto#;
Bruno Mars;08/15/2017  20:00:00;Quicken Loans Arena;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020590#outlauto#;
Bruno Mars: 24K Magic World Tour;08/16/2017  20:00:00;United Center;#http://ticketmaster.com/event/0400516AF1772413#outlauto#;
Bruno Mars: 24K Magic World Tour;08/18/2017  20:00:00;United Center;#http://ticketmaster.com/event/0400516EB45614AC#outlauto#;
Bruno Mars: 24K Magic World Tour;08/22/2017  20:00:00;PPG Paints Arena (Formerly CONSOL Energy Center);#http://ticketmaster.com/event/1600516A95631529#outlauto#;
Bruno Mars;08/24/2017  20:00:00;Videotron Centre;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020601#outlauto#;
Bruno Mars: 24K Magic World Tour;08/24/2017  20:00:00;Centre Videotron;#http://ticketmaster.ca/event/1000516AD399A10F#outlauto#;
Bruno Mars: 24K Magic World Tour;08/26/2017  20:00:00;Air Canada Centre;#http://ticketmaster.ca/event/1000516E9D326107#outlauto#;
Bruno Mars: 24K Magic World Tour;08/27/2017  20:00:00;Air Canada Centre;#http://ticketmaster.ca/event/1000516E9D2D60FC#outlauto#;
Bruno Mars: 24K Magic World Tour - Sièges Platine;08/29/2017  20:00:00;Centre Bell Centre;#http://ticketmaster.ca/event/10005175C118973C#outlauto#;
Bruno Mars: 24K Magic World Tour - Sièges Platine;08/30/2017  20:00:00;Centre Bell Centre;#http://ticketmaster.ca/event/100051750CA1D011#outlauto#;
Bruno Mars;09/02/2017  21:00:00;Park Theater at Monte Carlo Resort and Casino;#http://ticketmaster.com/event/2E005126A4441F90#outlauto#;
