Name;Date;Venue;Venue Type;Link;Status;CFC;Target;Last Checked;Accounts
Bastille;12/12/2016  20:00:00;McMenamins Crystal Ballroom;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1995848;;;;;;
Bastille and Judah & The Lion - The Night Alt 103.3 Stole Xmas;12/14/2016  19:30:00;Egyptian Room at Old National Centre;;http://concerts.livenation.com/event/050051437A811104;;;;;;
Bastille;12/16/2016  19:30:00;Peabody Opera House;;http://ticketmaster.com/event/0600513CE24E82AB;;;;;;
Bastille: Wild, Wild World Tour;03/24/2017  19:30:00;Air Canada Centre;;http://ticketmaster.ca/event/1000513BE24D969B;;;;;;
Bastille;03/24/2017  19:30:00;Air Canada Centre;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1997270;;;;;;
Bastille: Wild, Wild World Tour;03/27/2017  20:00:00;Agganis Arena;;http://ticketmaster.com/event/0100513DED97789D;;;;;;
Bastille: Wild, Wild World Tour;03/28/2017  20:00:00;EagleBank Arena (formerly Patriot Center);;http://ticketmaster.com/event/1500513DC13545A3;;;;;;
Bastille: Wild, Wild World Tour;03/30/2017  20:00:00;Barclays Center;;http://ticketmaster.com/event/0000513C8E2A1BFC;;;;;;
Bastille: Wild, Wild World Tour;03/31/2017  19:30:00;Mohegan Sun Arena;;http://ticketmaster.com/event/1D005142E0EA1033;;;;;;
Wild, Wild World Tour 2017: Bastille;04/03/2017  19:30:00;Aragon Ballroom;;http://ticketmaster.com/event/0400514E099754AB;;;;;;
Bastille: Wild, Wild World Tour;04/06/2017  19:30:00;Smart Financial Centre at Sugar Land;;http://ticketmaster.com/event/3A00513D9B3537B8;;;;;;
Bastille: Wild, Wild World Tour;04/07/2017  19:30:00;Bold Sphere Music at Champions Square;;http://ticketmaster.com/event/1B00513DAE72488E;;;;;;
Bastille;04/09/2017  20:00:00;Verizon Theatre at Grand Prairie;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1996982;;;;;;
Bastille: Wild, Wild World Tour;04/11/2017  19:30:00;Comerica Theatre ;;http://concerts.livenation.com/event/1900513EEBEA2D77;;;;;;
Bastille;04/13/2017  20:00:00;UCCU Center;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1997492;;;;;;
Bastille: Wild, Wild World Tour;04/14/2017  19:00:00;The Chelsea at The Cosmopolitan of Las Vegas;;http://ticketmaster.com/event/1700513BB376336F;;;;;;
Bastille: Wild, Wild World Tour;04/26/2017  20:00:00;WaMu Theater;;http://ticketmaster.com/event/0F00513939A71E35;;;;;;
Bastille: Wild, Wild World Tour;04/27/2017  19:30:00;UBC - Doug Mitchell Thunderbird Sports Centre;;http://ticketmaster.ca/event/11005142A14F1938;;;;;;
Bastille;04/27/2017  19:30:00;Doug Mitchell Thunderbird Sports Centre;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1997271;;;;;;
Bastille: Wild, Wild World Tour;04/29/2017  19:00:00;Taco Bell Arena;;http://ticketmaster.com/event/1E00513C3B662E3B;;;;;;
Bastille;04/30/2017  19:00:00;Brick Breeden Fieldhouse;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1996988;;;;;;
Bastille;05/02/2017  19:30:00;Orpheum Theatre - Omaha;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1996989;;;;;;
Bastille;05/03/2017  19:00:00;7 Flags Event Center;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1996990;;;;;;
Bastille: Wild, Wild World Tour;05/05/2017  19:00:00;Ascend Amphitheater;;http://concerts.livenation.com/event/1B00513AF6E292EC;;;;;;
Bastille: Wild, Wild World Tour;05/06/2017  19:30:00;Charlotte Metro Credit Union Amphitheatre;;http://concerts.livenation.com/event/0E00513BA6215805;;;;;;
Bastille: Wild, Wild World Tour;05/07/2017  19:00:00;St Augustine Amphitheatre;;http://ticketmaster.com/event/2200513DA3A28991;;;;;;
Bastille: Wild, Wild World Tour;05/09/2017  20:00:00;Orlando Amphitheater at the Central Florida Fair;;http://ticketmaster.com/event/2200513E91F37E88;;;;;;
Bastille;05/10/2017  20:00:00;Fabulous Fox Theatre - Atlanta;;http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=1997407;;;;;;
Bastille: Wild, Wild World Tour;05/12/2017  19:30:00;Red Hat Amphitheater;;http://ticketmaster.com/event/0E00513AC031BB61;;;;;;
